製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,12,,,,,
計測開始時刻 ,00/00/00 00:08 ,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.7647,0.0193,-1.3045,,0
2,-0.0251,0.919,0.0578,-1.176,,0.0251
3,0.0122,0.9061,0.0578,-1.1375,,0.0122
4,0.0267,0.9061,0.0578,-1.1632,,0.0267
5,0.0929,0.9061,0.0321,-1.1632,,0.0929
6,0.1654,0.9061,0.0321,-1.1503,,0.1654
7,0.1573,0.8933,0.0193,-1.1503,,0.1573
8,0.1557,0.9061,0.0193,-1.1246,,0.1557
9,0.1181,0.8933,0.0321,-1.1246,,0.1181
10,-0.0015,0.8804,0.0193,-1.1375,,0.0015
11,-0.1834,0.8676,0.0193,-1.1118,,0.1834
12,-0.2342,0.8804,0.0193,-1.1246,,0.2342
13,-0.0743,0.8804,0.0064,-1.1246,,0.0743
14,-0.0177,0.8933,0.0064,-1.1118,,0.0177
15,-0.0094,0.8933,0.0064,-1.1118,,0.0094
16,-0.0198,0.8804,0.0064,-1.086,,0.0198
17,-0.0662,0.8804,0.0064,-1.1118,,0.0662
18,-0.0979,0.9061,0.0064,-1.0603,,0.0979
19,0.0779,0.8804,0.0064,-1.0732,,0.0779
20,0.1242,0.8804,-0.0064,-1.086,,0.1242
21,0.0876,0.8804,0.0064,-1.0989,,0.0876
22,0.036,0.8804,-0.0064,-1.0989,,0.036
23,-0.0913,0.8804,-0.0064,-1.0989,,0.0913
24,-0.0999,0.8547,-0.0064,-1.0732,,0.0999
25,-0.0363,0.8547,-0.0064,-1.0989,,0.0363
26,-0.01,0.8547,-0.0064,-1.0732,,0.01
27,0.0382,0.8547,0.0064,-1.0989,,0.0382
28,-0.0593,0.8418,0.0064,-1.086,,0.0593
